reference,type,transaction,price,surface,price_per_sqm,rooms,bathrooms,floor,city,neighborhood,condition,age,amenities,description,listing_date
MA-MEK-33004,Appartement,Vente,1895791,216,8776,3,2,1,Meknès,Medina,À rénover,31,"Climatisation, Cuisine équipée, Garage, Parking, Vue montagne","Appartement de 216m² situé à Medina, Meknès",2025-07-30
MA-TAN-78511,Appartement,Location,1960185,190,10316,2,1,5,Tanger,Malabata,Bon état,10,"Cuisine équipée, Jardin, Vue mer, Vue montagne",Magnifique appartement en bon état à Malabata,2025-11-19
MA-TÉT-76353,Appartement,Vente,2330668,171,13629,2,2,9,Tétouan,Martil,Excellent état,38,"Placard, Sécurité, Terrasse",Appartement spacieux avec 2 chambres à Tétouan,2025-09-19
MA-CAS-86616,Appartement,Vente,2277572,188,12114,4,1,7,Casablanca,Maarif,À rénover,17,"Cave, Parking, Piscine, Terrasse","Appartement de 188m² situé à Maarif, Casablanca",2025-09-05
MA-MAR-48418,Villa,Location,5098050,329,15495,4,3,0,Marrakech,Massira,Très bon état,12,"Ascenseur, Cuisine équipée, Sécurité",Magnifique villa en très bon état à Massira,2025-11-26
MA-RAB-43466,Appartement,Location,834106,80,10426,5,1,4,Rabat,Hassan,Neuf,36,"Climatisation, Concierge, Cuisine équipée, Garage, Placard, Terrasse, Vue mer, Vue montagne",Appartement spacieux avec 5 chambres à Rabat,2025-11-29
MA-FÈS-58435,Studio,Location,257831,30,8594,1,1,11,Fès,Bensouda,Excellent état,16,"Ascenseur, Climatisation, Parking, Piscine, Sécurité, Vue montagne",Beau studio dans le quartier recherché de Bensouda,2025-08-01
MA-OUJ-35107,Villa,Vente,6308555,369,17096,5,4,0,Oujda,Sidi Maâfa,Bon état,7,"Ascenseur, Balcon, Concierge, Cuisine équipée, Piscine, Placard, Sécurité, Vue montagne",Beau villa dans le quartier recherché de Sidi Maâfa,2025-08-23
MA-AGA-36399,Appartement,Vente,913690,67,13637,3,2,8,Agadir,Ben Sergao,Très bon état,7,"Cave, Climatisation, Jardin, Sécurité",Beau appartement dans le quartier recherché de Ben Sergao,2025-11-22
MA-AGA-91092,Appartement,Vente,2492741,191,13051,4,2,1,Agadir,Hay Dakhla,Très bon état,20,"Chauffage, Cuisine équipée, Vue mer",Magnifique appartement en très bon état à Hay Dakhla,2025-10-24
