job_title,company_name,location,salary,job_type,experience_required,education_required,skills_required,job_description,posted_date,source
Backend Developer,EY Morocco,Marrakech,18600 MAD/month,Part-time,2-4 years,Master's Degree,"PostgreSQL, Node.js, Python, Microservices, REST API",Exciting opportunity for a Backend Developer in Marrakech.,2025-12-22,Generated
QA Engineer,Amendis,Meknes,17900 MAD/month,Full-time,3-5 years,Master's Degree,"Selenium, Test Planning, Test Automation, JIRA, Regression Testing, QA Methodologies",Seeking an experienced QA Engineer for innovative projects.,2025-11-21,Generated
Principal Business Development Manager,ADM,Kenitra,78000 MAD/month,Full-time,10+ years,Bachelor's Degree,"Market Analysis, Contract Management, Negotiation, Business Development, Client Relations",Seeking an experienced Principal Business Development Manager for innovative projects.,2025-12-28,Generated
Full Stack Developer,Concentrix Morocco,Casablanca,24200 MAD/month,Contract,3-5 years,Bachelor's Degree,"Python, SQL, React, Docker, Agile",We are looking for a talented Full Stack Developer to join our growing team.,2025-11-21,Generated
Senior Electronics Technician,GE Aviation Morocco,Tetouan,14100 MAD/month,Part-time,5-8 years,Bachelor's Degree,"Circuit Analysis, Testing, Embedded Systems, Multimeter, Troubleshooting",We are looking for a talented Senior Electronics Technician to join our growing team.,2025-12-20,Generated
Aerospace Engineer,ADM,Oujda,9900 MAD/month,Internship,3-5 years,Bachelor's Degree,"Manufacturing Processes, Quality Control, Systems Engineering, MATLAB, CATIA, Structural Analysis",Join our dynamic team as a Aerospace Engineer.,2025-11-19,Generated
Principal Aerospace Engineer,Aptiv Morocco,Oujda,46000 MAD/month,Part-time,10+ years,Master's Degree,"Manufacturing Processes, Systems Engineering, Aerodynamics, Structural Analysis, Testing",Seeking an experienced Principal Aerospace Engineer for innovative projects.,2025-12-16,Generated
Junior Software Engineer,Cisco Morocco,Tangier,8300 MAD/month,Full-time,0-2 years,Bachelor's Degree,"Java, REST API, Git, Design Patterns",We are looking for a talented Junior Software Engineer to join our growing team.,2025-12-20,Generated
Senior Recruiter,CIH Bank,Tetouan,17300 MAD/month,Part-time,8+ years,Master's Degree,"Sourcing, LinkedIn, Interviewing, ATS, HR Policies",We are looking for a talented Senior Recruiter to join our growing team.,2025-12-16,Generated
UX/UI Designer,Microsoft Morocco,Meknes,9200 MAD/month,Part-time,3-5 years,Master's Degree,"UX Design, Prototyping, UI Design, Responsive Design, Design Thinking, Usability Testing",Exciting opportunity for a UX/UI Designer in Meknes.,2025-12-15,Generated
Aerospace Engineer,Attijariwafa Bank,Rabat,32100 MAD/month,Contract,3-5 years,Bachelor's Degree,"Systems Engineering, MATLAB, Structural Analysis, CATIA",Join our dynamic team as a Aerospace Engineer.,2025-11-15,Generated
Principal Network Engineer,Orange Morocco,Oujda,58300 MAD/month,Full-time,10+ years,Master's Degree,"Network Security, Switching, Troubleshooting, CCNA, TCP/IP",Great opportunity for career growth as a Principal Network Engineer.,2025-11-30,Generated
